DateTime,PlayerName,EpisodeId,Duration,Drag,AverageDistanceToCenter,Supervisor,ModelName,ResetPlatformToIdentity,FocusActivePlatform,Autonomous,AgentChoice,Aborted
26.06.2023 13:00:09,11904652,2,67.02077,0.4500003,2.88106728,True,AUIAUI1S2.5MsessionOptS20_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:00:09,11904652,3,6.079995,0.75000006,3.17569184,True,AUIAUI1S2.5MsessionOptS20_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:00:09,11904652,4,13.840127,0.7250001,3.266065,True,AUIAUI1S2.5MsessionOptS20_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:00:09,11904652,5,25.1603851,0.650000155,2.818814,True,AUIAUI1S2.5MsessionOptS20_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:00:09,11904652,6,10.0800409,0.7250001,3.962889,True,AUIAUI1S2.5MsessionOptS20_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:03:56,11904652,1,114.812744,0.200000226,2.814248,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:03:56,11904652,2,5.89999533,0.75000006,3.42303753,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:03:56,11904652,3,90.47683,0.325000256,2.74032545,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:03:56,11904652,4,60.4211922,0.4750003,2.93986058,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 13:03:56,11904652,5,53.28103,0.5250003,2.87086439,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 14:14:59,12024008,1,5.359996,0.75000006,3.59364653,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 14:14:59,12024008,2,22.2003174,0.675000131,3.75605464,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
26.06.2023 14:14:59,12024008,3,77.89894,0.400000274,3.03086758,True,AUIAUI1S5MunifiedD1_ev1_session19_AOD1_DRI0.2NTTT,True,False,False,Ball3DAgentOptimal,False
